name,url,buy_below
ASUS Turbo RTX 2060 SUPER,https://www.amazon.it/dp/B07VS34KJS/?coliid=I3JXI7HE5RBEAW&colid=1Q0QWEVO6X3UP&psc=1&ref_=lv_ov_lig_dp_it,430
ASUS Turbo RTX 2070 SUPER,https://www.amazon.it/dp/B07VPXFBHJ/?coliid=I2NK1MGKPJ7LFV&colid=1Q0QWEVO6X3UP&psc=1&ref_=lv_ov_lig_dp_it,500
Asus ROG Strix RTX 2070,https://www.amazon.it/dp/B07JVWY7SJ/?coliid=I2NUCW7KNLNN5X&colid=1Q0QWEVO6X3UP&psc=1&ref_=lv_ov_lig_dp_it,480
AMD Ryzen 7 3700X,https://www.amazon.it/dp/B07SXMZLPK/?coliid=I23WAHS2F0GSP1&colid=1Q0QWEVO6X3UP&psc=1&ref_=lv_ov_lig_dp_it,300
G_Skill Trident Z RGB 16GB,https://www.amazon.it/dp/B01MTDEYHU/?coliid=I2A18NVN5RHF1E&colid=1Q0QWEVO6X3UP&psc=1&ref_=lv_ov_lig_dp_it,80
Corsair Vengeance LPX 16GB,https://www.amazon.it/dp/B0143UM4TC/?coliid=I2DMP6GG1VLWAA&colid=1Q0QWEVO6X3UP&psc=1&ref_=lv_ov_lig_dp_it,60
Sabrent SSD 512GB NVMe_M2,https://www.amazon.it/dp/B07KGMBCKD/?coliid=I7JJ4U2VYFPW4&colid=1Q0QWEVO6X3UP&psc=1&ref_=lv_ov_lig_dp_it,70
Samsung 970 EVO Plus SSD 500GB NVMe_M2,https://www.amazon.it/dp/B07MFBLN7K/?coliid=IJY4AZ3EWMFWJ&colid=1Q0QWEVO6X3UP&psc=1&ref_=lv_ov_lig_dp_it,100
Corsair Carbide SPEC-DELTA Mid-Tower,https://www.amazon.it/dp/B07KGSJRC3/?coliid=IK1EKH6DUR8UZ&colid=1Q0QWEVO6X3UP&psc=1&ref_=lv_ov_lig_dp_it,60
Corsair iCUE 220T Mid-Tower,https://www.amazon.it/dp/B07RW8GLQJ/?coliid=I2D44LAPCIXNF&colid=1Q0QWEVO6X3UP&psc=1&ref_=lv_ov_lig_dp_it,90